,Close,Portfolio,BuyHold,Signal,RSI,MACD_hist
2024-06-11,432.0334739682493,10000.0,10000.0,0,26.543039506519165,-3.9383557334078287
2024-06-12,439.80479930889027,10000.0,10179.877852270587,-1,37.313813702667616,-3.5642389829267787
2024-06-13,438.7891512223236,10000.0,10156.36930148081,-1,36.55933820543107,-3.2028192474141157
2024-06-14,439.32023460623554,10000.0,10168.661945822321,-1,37.27355542282821,-2.7622953127271357
2024-06-17,431.9849142110128,10000.0,9998.876018638312,-1,31.927129626209705,-2.791003073146614
2024-06-18,429.3357266820735,10000.0,9937.556984615177,-1,30.24009435697289,-2.8068919488606765
2024-06-19,430.07893734064885,10000.0,9954.759602082497,-1,31.336258674483844,-2.591020873270619
2024-06-20,424.3107517796207,10000.0,9821.247133521969,0,27.698469503163025,-2.650840102878462
2024-06-21,426.39342858360897,10000.0,9869.453509404348,-1,30.82117414803014,-2.373255356019297
2024-06-24,423.49068527102907,10000.0,9802.26558329487,0,28.94477578723766,-2.2114925204016886
2024-06-25,422.1777265132667,10000.0,9771.875374274658,-1,28.111130477633736,-2.0243077149956186
2024-06-26,419.29827204892393,10000.0,9705.226500105377,0,26.32071965385427,-1.9263577378556676
2024-06-27,428.7858758631657,10000.0,9924.829942567776,-1,39.902630011788226,-1.0958457953806482
2024-06-28,428.88794118153925,10000.0,9927.192382622157,-1,40.0307010097329,-0.4461804997402119
2024-07-01,423.6158228057906,10000.0,9805.16206105184,-1,35.78815746712809,-0.28587381974636195
2024-07-02,427.96658561173655,10000.0,9905.866359864243,-1,41.31555909104442,0.174070179824783
2024-07-03,421.8680087846548,10000.0,9764.706537893368,0,36.56427855220931,0.13046083692077204
2024-07-04,423.0941104153558,10000.0,9793.086321048575,0,38.1053847316968,0.24066660897312708
2024-07-05,413.31384940627635,10000.0,9566.708931369778,-1,31.526113737917626,-0.261445332175664
2024-07-08,406.89168268286375,10000.0,9418.059182904117,0,28.095695830513264,-0.9061229967502831
2024-07-09,408.0156537501507,10000.0,9444.0750158201,0,29.54071322468748,-1.1227209041066422
2024-07-10,411.7945311045643,10000.0,9531.542251164261,-1,34.31980087812009,-0.8876634677643311
2024-07-11,412.80607116899193,10000.0,9554.955716216784,-1,35.57941179058804,-0.5564211474801848
2024-07-12,412.3983098403779,10000.0,9545.517527900756,-1,35.28564168210512,-0.27156457794302824
2024-07-15,411.0731733025415,10000.0,9514.845447664356,-1,34.29464005989365,-0.08864014250284669
2024-07-16,403.94423385532735,10000.0,9349.836487091592,0,29.49533211826946,-0.3493771092549469
2024-07-17,400.61648854180714,10000.0,9272.811313950386,0,27.556724979565004,-0.6311445546735399
2024-07-18,398.5622612943264,10000.0,9225.263441591964,0,26.403074867861747,-0.8286113276929878
2024-07-19,403.77763449819975,10000.0,9345.98031929058,-1,33.96203073244463,-0.4970710473680171
2024-07-22,405.6040901135863,10000.0,9388.256108678159,-1,36.42466114327651,-0.06647916181927371
2024-07-23,397.1851761730363,10000.0,9193.388941020481,-1,30.735177153156982,-0.25006001777585496
2024-07-24,399.6830767775987,10000.0,9251.206234241283,-1,34.02780076089182,-0.11171329982033917
2024-07-25,398.79538571407306,10000.0,9230.659422084063,0,33.41979936512226,0.005353087437104165
