Symbol,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL,PnL_Pct,Holding_Days,Win
SPY,2024-08-07,2024-09-10,415.32,439.37,22,519.43,5.79,34,True
SPY,2024-09-17,2024-09-25,448.94,445.06,22,-95.12,-0.86,8,False
SPY,2024-10-22,2024-11-12,453.15,450.52,21,-64.69,-0.58,21,False
SPY,2025-01-03,2025-02-04,441.72,446.15,22,87.74,1.0,32,True
SPY,2025-02-13,2025-02-18,442.68,437.81,22,-116.8,-1.1,5,False
SPY,2025-02-25,2025-03-31,451.26,500.92,21,1032.42,11.01,34,True
SPY,2025-04-01,2025-04-07,506.46,502.98,21,-83.63,-0.69,6,False
SPY,2025-05-02,2025-05-16,536.95,516.24,19,-403.42,-3.86,14,False
SPY,2025-06-17,2025-06-27,523.98,505.49,19,-361.09,-3.53,10,False
SPY,2025-07-03,2025-07-22,515.39,514.32,19,-30.01,-0.21,19,False
SPY,2025-07-28,2025-08-08,523.0,516.54,18,-125.64,-1.24,11,False
SPY,2025-10-06,2025-11-05,519.72,559.07,18,698.21,7.57,30,True
SPY,2025-11-07,2025-11-14,577.3,574.13,17,-63.63,-0.55,7,False
SPY,2025-11-18,2025-12-02,598.46,595.35,17,-63.07,-0.52,14,False
SPY,2025-12-03,2025-12-12,601.83,592.97,17,-160.57,-1.47,9,False
SPY,2025-12-22,2026-01-08,629.22,650.75,16,334.0,3.42,17,True
SPY,2026-01-15,2026-01-19,681.67,656.56,15,-386.56,-3.68,4,False
SPY,2026-01-23,2026-01-27,644.22,633.33,15,-172.78,-1.69,4,False
SPY,2026-04-07,2026-04-14,594.51,574.27,16,-333.12,-3.41,7,False
